ticket_id,reason_code,labelled_by,labelled_on
CMP-000005,LATE_DELIVERY,cx_team,2026-09-10
CMP-000008,MISSING_ITEM,cx_team,2026-09-10
CMP-000016,REFUND_DELAY,cx_team,2026-09-10
CMP-000032,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000034,LATE_DELIVERY,cx_team,2026-09-10
CMP-000040,WRONG_ITEM,cx_team,2026-09-10
CMP-000047,LATE_DELIVERY,cx_team,2026-09-10
CMP-000048,DAMAGED_ITEM,cx_team,2026-09-10
CMP-000059,LATE_DELIVERY,cx_team,2026-09-10
CMP-000061,MISSING_ITEM,cx_team,2026-09-10
CMP-000067,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000073,LATE_DELIVERY,cx_team,2026-09-10
CMP-000079,QUALITY_FRESH,cx_team,2026-09-10
CMP-000084,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000087,QUALITY_FRESH,cx_team,2026-09-10
CMP-000090,REFUND_DELAY,cx_team,2026-09-10
CMP-000096,PACKAGING,cx_team,2026-09-10
CMP-000109,RIDER_BEHAVIOUR,cx_team,2026-09-10
CMP-000112,LATE_DELIVERY,cx_team,2026-09-10
CMP-000113,WRONG_ITEM,cx_team,2026-09-10
CMP-000114,REFUND_DELAY,cx_team,2026-09-10
CMP-000119,MISSING_ITEM,cx_team,2026-09-10
CMP-000124,LATE_DELIVERY,cx_team,2026-09-10
CMP-000129,REFUND_DELAY,cx_team,2026-09-10
CMP-000130,QUALITY_FRESH,cx_team,2026-09-10
CMP-000131,REFUND_DELAY,cx_team,2026-09-10
CMP-000133,REFUND_DELAY,cx_team,2026-09-10
CMP-000134,REFUND_DELAY,cx_team,2026-09-10
CMP-000141,LATE_DELIVERY,cx_team,2026-09-10
CMP-000144,LATE_DELIVERY,cx_team,2026-09-10
CMP-000166,LATE_DELIVERY,cx_team,2026-09-10
CMP-000172,APP_ISSUE,cx_team,2026-09-10
CMP-000177,MISSING_ITEM,cx_team,2026-09-10
CMP-000181,QUALITY_FRESH,cx_team,2026-09-10
CMP-000187,PACKAGING,cx_team,2026-09-10
CMP-000188,QUALITY_FRESH,cx_team,2026-09-10
CMP-000194,WRONG_ITEM,cx_team,2026-09-10
CMP-000198,REFUND_DELAY,cx_team,2026-09-10
CMP-000204,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000221,LATE_DELIVERY,cx_team,2026-09-10
CMP-000224,LATE_DELIVERY,cx_team,2026-09-10
CMP-000228,MISSING_ITEM,cx_team,2026-09-10
CMP-000236,LATE_DELIVERY,cx_team,2026-09-10
CMP-000244,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000247,MISSING_ITEM,cx_team,2026-09-10
CMP-000250,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000253,MISSING_ITEM,cx_team,2026-09-10
CMP-000258,RIDER_BEHAVIOUR,cx_team,2026-09-10
CMP-000260,LATE_DELIVERY,cx_team,2026-09-10
CMP-000264,LATE_DELIVERY,cx_team,2026-09-10
CMP-000265,WRONG_ITEM,cx_team,2026-09-10
CMP-000269,LATE_DELIVERY,cx_team,2026-09-10
CMP-000273,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000276,PAYMENT_ISSUE,cx_team,2026-09-10
CMP-000282,DAMAGED_ITEM,cx_team,2026-09-10
CMP-000284,DAMAGED_ITEM,cx_team,2026-09-10
CMP-000288,LATE_DELIVERY,cx_team,2026-09-10
CMP-000291,APP_ISSUE,cx_team,2026-09-10
CMP-000295,MISSING_ITEM,cx_team,2026-09-10
CMP-000299,MISSING_ITEM,cx_team,2026-09-10
