store_code,city,store_tier,daypart,hour_from,hour_to,promise_minutes,breach_tolerance_pct,effective_from
DS001,Gurgaon,T1,MORNING,6,11,12,5,2026-07-01
DS001,Gurgaon,T1,MIDDAY,11,16,12,5,2026-07-01
DS001,Gurgaon,T1,EVENING,16,21,16,10,2026-07-01
DS001,Gurgaon,T1,NIGHT,21,6,14,5,2026-07-01
DS002,Gurgaon,T1,MORNING,6,11,12,5,2026-07-01
DS002,Gurgaon,T1,MIDDAY,11,16,12,5,2026-07-01
DS002,Gurgaon,T1,EVENING,16,21,16,10,2026-07-01
DS002,Gurgaon,T1,NIGHT,21,6,14,5,2026-07-01
DS003,Noida,T2,MORNING,6,11,16,5,2026-07-01
DS003,Noida,T2,MIDDAY,11,16,16,5,2026-07-01
DS003,Noida,T2,EVENING,16,21,20,10,2026-07-01
DS003,Noida,T2,NIGHT,21,6,18,5,2026-07-01
DS004,Noida,T2,MORNING,6,11,16,5,2026-07-01
DS004,Noida,T2,MIDDAY,11,16,16,5,2026-07-01
DS004,Noida,T2,EVENING,16,21,20,10,2026-07-01
DS004,Noida,T2,NIGHT,21,6,18,5,2026-07-01
DS005,Delhi,T1,MORNING,6,11,12,5,2026-07-01
DS005,Delhi,T1,MIDDAY,11,16,12,5,2026-07-01
DS005,Delhi,T1,EVENING,16,21,16,10,2026-07-01
DS005,Delhi,T1,NIGHT,21,6,14,5,2026-07-01
DS006,Delhi,T1,MORNING,6,11,12,5,2026-07-01
DS006,Delhi,T1,MIDDAY,11,16,12,5,2026-07-01
DS006,Delhi,T1,EVENING,16,21,16,10,2026-07-01
DS006,Delhi,T1,NIGHT,21,6,14,5,2026-07-01
DS007,Faridabad,T3,MORNING,6,11,20,5,2026-07-01
DS007,Faridabad,T3,MIDDAY,11,16,20,5,2026-07-01
DS007,Faridabad,T3,EVENING,16,21,24,10,2026-07-01
DS007,Faridabad,T3,NIGHT,21,6,22,5,2026-07-01
DS008,Ghaziabad,T3,MORNING,6,11,20,5,2026-07-01
DS008,Ghaziabad,T3,MIDDAY,11,16,20,5,2026-07-01
DS008,Ghaziabad,T3,EVENING,16,21,24,10,2026-07-01
DS008,Ghaziabad,T3,NIGHT,21,6,22,5,2026-07-01
